t,rsp1,ppg1,rsp2,ppg2
1.072,0.69013,0.5523,0.25318,0.43109
1.08,0.70381,0.54057,0.2522,0.41251
1.088,0.71848,0.52884,0.2522,0.39492
1.096,0.73314,0.51711,0.25122,0.3783
1.104,0.74682,0.50733,0.25122,0.36559
1.112,0.76051,0.49756,0.25122,0.35679
1.12,0.77322,0.48778,0.25024,0.348
1.128,0.78592,0.47996,0.25024,0.34018
1.136,0.79863,0.4741,0.25024,0.33138
1.144,0.81232,0.47019,0.25024,0.3216
1.152,0.826,0.46823,0.25122,0.31281
1.16,0.83969,0.46725,0.2522,0.30303
1.168,0.85435,0.46628,0.25318,0.29326
1.176,0.86999,0.46432,0.25415,0.28348
1.184,0.88465,0.46041,0.25611,0.27468
1.192,0.90029,0.4565,0.25904,0.26588
1.2,0.91496,0.45259,0.261,0.25904
1.208,0.92864,0.4477,0.26393,0.25415
1.216,0.94135,0.44379,0.26588,0.25122
1.224,0.95503,0.43891,0.26882,0.24731
1.232,0.96774,0.43304,0.27077,0.24242
1.24,0.98143,0.43011,0.2737,0.23949
1.248,0.9912,0.42717,0.27664,0.23656
1.256,1,0.42522,0.28055,0.2346
1.264,1,0.42229,0.28348,0.23265
1.272,1,0.41935,0.28739,0.23069
1.28,1,0.4174,0.29032,0.22678
1.288,1,0.41544,0.29326,0.22287
1.296,1,0.41349,0.29619,0.21896
1.304,1,0.41251,0.29912,0.21505
1.312,1,0.41153,0.30303,0.2131
1.32,1,0.41153,0.30596,0.20919
1.328,1,0.41153,0.30987,0.20528
1.336,1,0.41251,0.31281,0.20235
1.344,1,0.41349,0.31672,0.19941
1.352,1,0.41349,0.31965,0.19746
1.36,1,0.41447,0.32258,0.19648
1.368,1,0.41544,0.32551,0.1955
1.376,1,0.41642,0.32845,0.1955
1.384,1,0.41642,0.33138,0.19648
1.392,1,0.4174,0.33431,0.19844
1.4,1,0.4174,0.33627,0.20235
1.408,1,0.41838,0.3392,0.20626
1.416,1,0.41838,0.34115,0.20919
1.424,1,0.41838,0.34409,0.21212
1.432,1,0.41935,0.34604,0.2131
1.44,1,0.42033,0.34897,0.21408
1.448,1,0.42033,0.35093,0.2131
1.456,1,0.42131,0.35386,0.21212
1.464,1,0.42033,0.35777,0.21017
1.472,1,0.41838,0.3607,0.20919
1.48,1,0.41642,0.36461,0.20821
1.488,1,0.41544,0.3695,0.20821
1.496,1,0.41349,0.37341,0.20821
1.504,1,0.41153,0.3783,0.20821
1.512,1,0.41056,0.38221,0.20919
1.52,1,0.41153,0.3871,0.20919
1.528,1,0.41447,0.39101,0.21017
1.536,1,0.41935,0.39589,0.21017
1.544,1,0.42717,0.40078,0.21017
1.552,1,0.43891,0.40469,0.21017
1.56,1,0.45357,0.40958,0.21114
1.568,1,0.47214,0.41544,0.21408
1.576,1,0.48974,0.42033,0.21994
1.584,1,0.50831,0.4262,0.23167
1.592,1,0.52395,0.43109,0.25024
1.6,1,0.53666,0.43597,0.27859
1.608,1,0.54839,0.43988,0.3089
1.616,1,0.55914,0.44379,0.34409
1.624,1,0.56794,0.44868,0.39296
1.632,0.98925,0.5738,0.45357,0.44966
1.64,0.97849,0.57771,0.45846,0.51222
1.648,0.95894,0.57967,0.46334,0.57576
1.656,0.93939,0.57967,0.46921,0.63636
1.664,0.91887,0.57869,0.4741,0.6911
1.672,0.89834,0.57674,0.47898,0.73803
1.68,0.87879,0.5738,0.48387,0.77517
1.688,0.85924,0.56989,0.48778,0.80254
1.696,0.84066,0.56403,0.49169,0.81916
1.704,0.82307,0.55523,0.4956,0.826
1.712,0.80352,0.54448,0.49951,0.82405
1.72,0.78495,0.53275,0.50244,0.8172
1.728,0.76442,0.52102,0.50538,0.80547
1.736,0.74487,0.50929,0.50831,0.78886
1.744,0.7263,0.49951,0.51124,0.76931
1.752,0.70772,0.49169,0.51417,0.7478
1.76,0.6911,0.48583,0.51711,0.72434
1.768,0.67351,0.47996,0.51906,0.69795
1.776,0.65689,0.4741,0.52199,0.67253
1.784,0.6393,0.46921,0.52297,0.64614
1.792,0.62366,0.4653,0.52493,0.62072
1.8,0.60704,0.46237,0.52688,0.59433
1.808,0.59238,0.46041,0.52786,0.56989
1.816,0.57771,0.45748,0.52884,0.54839
1.824,0.565,0.45455,0.53079,0.52493
1.832,0.5523,0.45064,0.53177,0.50342
1.84,0.54252,0.44575,0.53275,0.48192
1.848,0.53275,0.44086,0.53372,0.46237
1.856,0.52493,0.43695,0.53568,0.44379
1.864,0.51711,0.43206,0.53568,0.4262
1.872,0.51026,0.42815,0.53666,0.4086
1.88,0.5044,0.42522,0.53763,0.38905
1.888,0.49951,0.42326,0.53861,0.36755
1.896,0.4956,0.42131,0.53959,0.34702
1.904,0.49169,0.41935,0.54057,0.32942
1.912,0.48778,0.4174,0.54252,0.31378
1.92,0.48485,0.41544,0.54448,0.29619
1.928,0.48192,0.41349,0.54643,0.28055
1.936,0.47898,0.41251,0.54936,0.26784
1.944,0.47703,0.41056,0.55132,0.25611
1.952,0.47507,0.40958,0.55425,0.24145
1.96,0.47312,0.4086,0.55816,0.22776
1.968,0.47116,0.40762,0.56109,0.21799
1.976,0.47019,0.40762,0.56403,0.20723
1.984,0.46823,0.40762,0.56794,0.19844
1.992,0.46725,0.40762,0.57087,0.18866
2,0.4653,0.40762,0.57478,0.17986
2.008,0.46432,0.4086,0.57771,0.17302
2.016,0.46139,0.4086,0.58162,0.16716
2.024,0.45943,0.40762,0.58456,0.16129
2.032,0.4565,0.40762,0.58749,0.15543
2.04,0.45357,0.40762,0.59042,0.14956
2.048,0.44868,0.4086,0.59335,0.14467
2.056,0.44477,0.4086,0.59629,0.14174
2.064,0.43891,0.41056,0.6002,0.13978
2.072,0.43402,0.41153,0.60313,0.13978
2.08,0.42815,0.41153,0.60606,0.14076
2.088,0.42229,0.41251,0.60899,0.14174
2.096,0.41447,0.41251,0.61095,0.14272
2.104,0.40665,0.41056,0.61388,0.17595
2.112,0.39687,0.4086,0.61584,0.22385
2.12,0.3871,0.40665,0.61877,0.24829
2.128,0.37634,0.40469,0.62072,0.25904
2.136,0.36559,0.40469,0.62268,0.26491
2.144,0.35386,0.40567,0.62463,0.26686
2.152,0.34213,0.4086,0.62659,0.26588
2.16,0.33138,0.41447,0.62854,0.26588
2.168,0.3216,0.42424,0.62952,0.26588
2.176,0.31281,0.43793,0.63148,0.26588
2.184,0.30303,0.4565,0.63245,0.26686
2.192,0.29521,0.47507,0.63343,0.26686
2.2,0.28739,0.49267,0.63343,0.26882
2.208,0.28055,0.51222,0.63441,0.26979
2.216,0.2737,0.53079,0.63441,0.26979
2.224,0.26784,0.54936,0.63441,0.26979
2.232,0.26295,0.565,0.63539,0.26979
2.24,0.25904,0.57869,0.63539,0.26882
2.248,0.25513,0.58944,0.63636,0.26882
2.256,0.25318,0.59824,0.63734,0.26882
2.264,0.25122,0.60411,0.63734,0.26882
2.272,0.25024,0.60802,0.63734,0.26979
2.28,0.25024,0.60997,0.63832,0.27077
2.288,0.25122,0.60997,0.63832,0.27077
2.296,0.2522,0.60997,0.6393,0.27273
2.304,0.25318,0.60899,0.64027,0.2737
2.312,0.25513,0.60899,0.64223,0.27468
2.32,0.25611,0.60606,0.64418,0.2737
2.328,0.25806,0.60117,0.64516,0.27273
2.336,0.25904,0.59433,0.64614,0.27175
2.344,0.26002,0.58456,0.64712,0.27077
2.352,0.25904,0.57478,0.64712,0.27175
2.36,0.25904,0.56305,0.64809,0.2737
2.368,0.25709,0.55132,0.64907,0.2825
2.376,0.25611,0.53959,0.65005,0.30205
2.384,0.25415,0.52884,0.65103,0.3304
2.392,0.2522,0.52102,0.652,0.36657
2.4,0.24927,0.5132,0.65298,0.40274
2.408,0.24633,0.50635,0.65298,0.43988
2.416,0.24145,0.50244,0.65298,0.48387
2.424,0.23754,0.49853,0.65298,0.52981
2.432,0.23265,0.49658,0.65298,0.57576
2.44,0.22678,0.49462,0.65298,0.61681
2.448,0.22092,0.49169,0.65298,0.65298
2.456,0.21505,0.48876,0.65298,0.68231
2.464,0.20821,0.48583,0.65396,0.70479
2.472,0.20235,0.48094,0.65396,0.72043
2.48,0.19648,0.47605,0.65494,0.72923
2.488,0.19159,0.47214,0.65494,0.73216
2.496,0.18768,0.46823,0.65494,0.73021
2.504,0.1828,0.4653,0.65494,0.72336
2.512,0.17889,0.46237,0.65494,0.71457
2.52,0.17498,0.46041,0.65396,0.70283
2.528,0.17107,0.45846,0.65298,0.68817
2.536,0.16813,0.4565,0.652,0.67253
2.544,0.1652,0.45357,0.65103,0.65494
2.552,0.16325,0.44966,0.65005,0.63734
2.56,0.16129,0.44575,0.64809,0.61975
2.568,0.15934,0.44184,0.64712,0.60215
2.576,0.15836,0.43793,0.64614,0.58456
2.584,0.15738,0.43304,0.64321,0.56696
2.592,0.15543,0.42913,0.64125,0.55034
2.6,0.15445,0.42424,0.63832,0.53666
2.608,0.15347,0.41838,0.63539,0.52395
2.616,0.15249,0.41447,0.6305,0.51026
2.624,0.15152,0.41153,0.62659,0.49658
2.632,0.15054,0.40958,0.6217,0.48387
2.64,0.14956,0.4086,0.61681,0.47214
2.648,0.14858,0.40958,0.61193,0.46041
2.656,0.14761,0.40958,0.60802,0.44966
2.664,0.14663,0.40958,0.60313,0.43988
2.672,0.14467,0.41056,0.59922,0.43011
2.68,0.14272,0.41056,0.59433,0.42131
2.688,0.14076,0.41056,0.58944,0.41251
2.696,0.13783,0.41056,0.58456,0.40469
2.704,0.13392,0.41056,0.58065,0.39883
2.712,0.13099,0.41056,0.57576,0.39296
2.72,0.12708,0.41056,0.57185,0.38807
2.728,0.12317,0.41153,0.56696,0.38319
2.736,0.11828,0.41056,0.56305,0.37928
2.744,0.11241,0.41056,0.55914,0.37439
2.752,0.10557,0.41056,0.55425,0.36852
2.76,0.098729,0.40958,0.54936,0.36266
2.768,0.090909,0.40958,0.54448,0.35777
2.776,0.083089,0.40958,0.53959,0.35288
2.784,0.075269,0.40958,0.53372,0.34897
2.792,0.066471,0.41056,0.52786,0.34702
2.8,0.059629,0.41251,0.52199,0.34506
2.808,0.052786,0.41642,0.51711,0.34213
2.816,0.047898,0.42522,0.51222,0.3392
2.824,0.042033,0.43793,0.50733,0.33724
2.832,0.037146,0.45552,0.50244,0.33431
2.84,0.032258,0.47605,0.49756,0.33138
2.848,0.02737,0.49658,0.49267,0.32845
2.856,0.02346,0.51808,0.48778,0.32649
2.864,0.021505,0.53763,0.48289,0.32454
2.872,0.01955,0.55523,0.47801,0.32258
2.88,0.01955,0.56989,0.47312,0.32063
2.888,0.01955,0.58065,0.46921,0.31769
2.896,0.022483,0.58651,0.4653,0.31574
2.904,0.026393,0.59238,0.45943,0.31378
2.912,0.031281,0.59726,0.45455,0.31183
2.92,0.037146,0.59922,0.44868,0.3089
2.928,0.044966,0.6002,0.44379,0.30694
2.936,0.052786,0.6002,0.43695,0.30499
2.944,0.062561,0.59824,0.43011,0.30303
2.952,0.072336,0.59433,0.42326,0.30205
2.96,0.083089,0.58944,0.41544,0.3001
2.968,0.093842,0.58456,0.4086,0.29912
2.976,0.10459,0.57674,0.40176,0.29814
2.984,0.11535,0.56696,0.39492,0.29814
2.992,0.12708,0.55621,0.38807,0.3001
3,0.13881,0.54545,0.38123,0.30108
3.008,0.15249,0.53177,0.37439,0.30303
3.016,0.1652,0.51711,0.36755,0.30401
3.024,0.17693,0.50342,0.3607,0.30499
3.032,0.18866,0.49169,0.35484,0.30499
3.04,0.20039,0.48192,0.34897,0.30401
3.048,0.21114,0.47605,0.34311,0.30303
3.056,0.22287,0.47214,0.33822,0.30205
3.064,0.2346,0.47019,0.33333,0.30108
3.072,0.24731,0.46921,0.32747,0.3001
3.08,0.26002,0.46725,0.32258,0.30108
3.088,0.2737,0.46628,0.31769,0.30205
3.096,0.28739,0.4653,0.31281,0.30303
3.104,0.30108,0.46334,0.3089,0.30401
3.112,0.31476,0.46139,0.30499,0.30499
3.12,0.32747,0.45943,0.30108,0.30499
3.128,0.3392,0.45552,0.29717,0.30499
3.136,0.34995,0.45259,0.29423,0.30596
3.144,0.3607,0.44966,0.29228,0.30792
3.152,0.37243,0.44575,0.28935,0.31476
3.16,0.38416,0.44086,0.28739,0.32747
3.168,0.39687,0.435,0.28446,0.34897
3.176,0.40958,0.43011,0.2825,0.37928
3.184,0.42033,0.42522,0.27957,0.41838
3.192,0.43206,0.42131,0.27761,0.4565
3.2,0.44184,0.4174,0.27664,0.49658
3.208,0.45161,0.41447,0.27468,0.5435
3.216,0.46237,0.41251,0.27273,0.5914
3.224,0.4741,0.41056,0.27077,0.63734
3.232,0.4868,0.41056,0.26882,0.67937
3.24,0.49853,0.4086,0.26588,0.71457
3.248,0.51222,0.40665,0.26295,0.74291
3.256,0.5259,0.40567,0.25904,0.76442
3.264,0.53959,0.40469,0.25611,0.7781
3.272,0.55425,0.40371,0.25318,0.78495
3.28,0.56696,0.40274,0.24927,0.7869
3.288,0.57967,0.40176,0.24633,0.78299
3.296,0.59238,0.40176,0.2434,0.77615
3.304,0.60508,0.40078,0.24047,0.7654
3.312,0.61877,0.39883,0.23754,0.75367
3.32,0.63245,0.39687,0.23363,0.73803
3.328,0.64614,0.39394,0.23069,0.72043
3.336,0.6608,0.39198,0.22776,0.70088
3.344,0.67449,0.39003,0.22385,0.67937
3.352,0.68719,0.38905,0.22092,0.65787
3.36,0.69892,0.38807,0.21799,0.63636
3.368,0.71065,0.38807,0.21505,0.61486
3.376,0.72141,0.38807,0.2131,0.59531
3.384,0.73314,0.38807,0.21017,0.57576
3.392,0.74389,0.3871,0.20723,0.55914
3.4,0.75562,0.38514,0.20332,0.54545
3.408,0.76735,0.38319,0.20039,0.53079
3.416,0.7781,0.38123,0.19746,0.51515
3.424,0.78886,0.37928,0.19453,0.50049
3.432,0.80059,0.3783,0.19062,0.4868
3.44,0.81036,0.38025,0.18768,0.4741
3.448,0.82014,0.38221,0.18475,0.46237
3.456,0.82991,0.38807,0.18182,0.45064
3.464,0.83969,0.39687,0.17986,0.43988
3.472,0.85142,0.4086,0.17791,0.42815
3.48,0.86217,0.42522,0.17595,0.41642
3.488,0.87488,0.44086,0.174,0.40567
3.496,0.88759,0.45748,0.17204,0.39589
3.504,0.89932,0.47703,0.17009,0.3871
3.512,0.91202,0.4956,0.16911,0.3783
3.52,0.92278,0.5132,0.16716,0.3695
3.528,0.93451,0.52981,0.16618,0.36168
3.536,0.94721,0.5435,0.16422,0.35582
3.544,0.95992,0.55425,0.16422,0.35093
3.552,0.97458,0.56403,0.16325,0.348
3.56,0.98827,0.57087,0.16325,0.34506
3.568,0.99413,0.5738,0.16227,0.34213
3.576,1,0.57576,0.16227,0.3392
3.584,1,0.57674,0.16325,0.33724
3.592,1,0.57674,0.16325,0.33431
3.6,1,0.57674,0.16422,0.33333
3.608,1,0.5738,0.16422,0.3304
3.616,1,0.56989,0.1652,0.32747
3.624,1,0.56207,0.16618,0.32551
3.632,1,0.55132,0.16618,0.32356
3.64,1,0.53959,0.16716,0.3216
3.648,1,0.52688,0.16813,0.31867
3.656,1,0.51515,0.16911,0.31672
3.664,1,0.5044,0.17107,0.31378
3.672,1,0.49658,0.17204,0.31085
3.68,1,0.48974,0.174,0.30694
3.688,1,0.48485,0.17595,0.30401
3.696,1,0.47996,0.17791,0.30205
3.704,1,0.47703,0.17986,0.30108
3.712,1,0.47507,0.18084,0.3001
3.72,1,0.47312,0.1828,0.29912
3.728,1,0.47019,0.18377,0.29717
3.736,1,0.46921,0.18573,0.29619
3.744,1,0.46725,0.18671,0.29423
3.752,1,0.4653,0.18768,0.29326
3.76,1,0.46334,0.18964,0.29032
3.768,1,0.46041,0.19062,0.28739
3.776,1,0.45846,0.19159,0.28348
3.784,1,0.45552,0.19257,0.28055
3.792,1,0.45259,0.19355,0.27859
3.8,1,0.44868,0.19453,0.27859
3.808,1,0.44477,0.19453,0.27761
3.816,1,0.43988,0.19453,0.27664
3.824,1,0.43597,0.1955,0.27566
3.832,1,0.43206,0.1955,0.27566
3.84,1,0.42717,0.19648,0.27468
3.848,1,0.42229,0.19746,0.2737
3.856,1,0.4174,0.19941,0.27273
3.864,1,0.41447,0.20039,0.26979
3.872,1,0.41056,0.20137,0.26686
3.88,1,0.40762,0.20235,0.26295
3.888,1,0.40665,0.20332,0.26002
3.896,1,0.40567,0.20528,0.25904
3.904,1,0.40469,0.20626,0.26002
3.912,1,0.40469,0.20821,0.26197
3.92,0.99218,0.40371,0.21017,0.26784
3.928,0.98338,0.40176,0.21114,0.28055
3.936,0.96188,0.3998,0.2131,0.30205
3.944,0.94037,0.3998,0.21408,0.33138
3.952,0.91496,0.39883,0.21603,0.36852
3.96,0.89052,0.39883,0.21701,0.41447
3.968,0.86217,0.39883,0.21896,0.46432
3.976,0.8348,0.39883,0.22092,0.51711
3.984,0.80938,0.39883,0.2219,0.57087
3.992,0.78299,0.3998,0.22385,0.61486
4,0.75855,0.39785,0.22483,0.652
4.008,0.73412,0.39589,0.22678,0.68817
4.016,0.7087,0.39394,0.22776,0.71945
4.024,0.68328,0.39198,0.22874,0.74389
4.032,0.65689,0.38905,0.22972,0.76051
4.04,0.6305,0.38612,0.23069,0.77126
4.048,0.60508,0.38319,0.23069,0.77615
4.056,0.57869,0.38123,0.23167,0.77517
4.064,0.55425,0.37928,0.23265,0.77126
4.072,0.52981,0.38025,0.23265,0.76344
4.08,0.50831,0.38221,0.23363,0.75269
4.088,0.4868,0.38514,0.23363,0.73998
4.096,0.46823,0.39101,0.2346,0.7263
4.104,0.44868,0.40078,0.2346,0.71163
4.112,0.43304,0.41349,0.23558,0.69404
4.12,0.41642,0.43011,0.2346,0.67546
4.128,0.40274,0.44966,0.2346,0.65494
4.136,0.38807,0.47116,0.2346,0.63441
4.144,0.37732,0.49169,0.23363,0.60508
4.152,0.36657,0.51026,0.23265,0.57283
4.16,0.35777,0.52688,0.23167,0.54936
4.168,0.34995,0.54057,0.23069,0.53177
4.176,0.34311,0.55132,0.22972,0.51613
4.184,0.33627,0.55914,0.22776,0.50342
4.192,0.33138,0.565,0.22581,0.49169
4.2,0.32649,0.56891,0.22287,0.48289
4.208,0.32356,0.57283,0.22092,0.4741
4.216,0.32063,0.57478,0.21799,0.46725
4.224,0.31867,0.57576,0.21505,0.46041
4.232,0.31672,0.57576,0.21212,0.45455
4.24,0.31476,0.57478,0.21017,0.44868
4.248,0.31281,0.57087,0.20723,0.44184
4.256,0.31183,0.565,0.20528,0.435
4.264,0.31085,0.55816,0.2043,0.42913
4.272,0.3089,0.54839,0.20235,0.42229
4.28,0.30792,0.53763,0.20137,0.41642
4.288,0.30596,0.52884,0.19941,0.41153
4.296,0.30401,0.52004,0.19844,0.40665
4.304,0.30303,0.50929,0.19648,0.40176
4.312,0.30205,0.50049,0.1955,0.39589
4.32,0.3001,0.49365,0.1955,0.39101
4.328,0.29912,0.48778,0.19453,0.38612
4.336,0.29814,0.48289,0.19453,0.38123
4.344,0.29619,0.48094,0.19453,0.37537
4.352,0.29521,0.47996,0.19453,0.37048
4.36,0.29326,0.47898,0.19453,0.36461
4.368,0.29326,0.47898,0.19453,0.35973
4.376,0.29326,0.47703,0.19453,0.35484
4.384,0.29423,0.4741,0.19453,0.34995
4.392,0.29521,0.47116,0.1955,0.34604
4.4,0.29619,0.46628,0.1955,0.34213
4.408,0.29717,0.46139,0.19648,0.33822
4.416,0.29912,0.4565,0.19648,0.33431
4.424,0.30108,0.45161,0.19746,0.3304
4.432,0.30401,0.44673,0.19844,0.32649
4.44,0.30792,0.44184,0.19844,0.32356
4.448,0.31281,0.43695,0.19941,0.3216
4.456,0.31672,0.43304,0.20039,0.32063
4.464,0.3216,0.43011,0.20137,0.31867
4.472,0.32551,0.4262,0.20137,0.31769
4.48,0.32942,0.42326,0.20235,0.31672
4.488,0.33333,0.42131,0.20332,0.31476
4.496,0.33822,0.41935,0.2043,0.31281
4.504,0.34311,0.41642,0.2043,0.31183
4.512,0.348,0.41447,0.20528,0.30987
4.52,0.35288,0.41349,0.20528,0.30792
4.528,0.35679,0.41251,0.20626,0.30596
4.536,0.3607,0.41153,0.20626,0.30401
4.544,0.36364,0.41153,0.20626,0.30303
4.552,0.36657,0.41153,0.20626,0.30108
4.56,0.36755,0.41153,0.20626,0.3001
4.568,0.3695,0.41153,0.20626,0.29912
4.576,0.3695,0.41153,0.20626,0.29814
4.584,0.37048,0.41056,0.20626,0.29717
4.592,0.36852,0.40958,0.20626,0.29717
4.6,0.36657,0.40958,0.20723,0.29717
4.608,0.36266,0.40958,0.20919,0.29619
4.616,0.35875,0.40958,0.21114,0.29521
4.624,0.35484,0.40958,0.2131,0.29326
4.632,0.35093,0.41056,0.21505,0.2913
4.64,0.34604,0.41056,0.21701,0.28935
4.648,0.34115,0.41447,0.21799,0.28739
4.656,0.33333,0.41935,0.21994,0.28641
4.664,0.32649,0.42131,0.2219,0.28543
4.672,0.31672,0.42229,0.22483,0.28446
4.68,0.30694,0.42229,0.22776,0.2825
4.688,0.29521,0.42229,0.23069,0.28152
4.696,0.28446,0.42229,0.2346,0.28152
4.704,0.27175,0.42229,0.23851,0.28152
4.712,0.26002,0.42326,0.24242,0.28543
4.72,0.24927,0.42522,0.24731,0.29521
4.728,0.23851,0.43011,0.25122,0.31085
4.736,0.22874,0.44086,0.25513,0.33431
4.744,0.21896,0.45552,0.25806,0.36559
